Section,Alert_ID,Title,Query
A,A1,GC AI Strategy (Federal Public Service),"(""AI Strategy"" OR ""Artificial Intelligence Strategy"") (""Federal Public Service"" OR ""Government of Canada"" OR GC) (2025 OR 2026 OR 2027)"
A,A2,Responsible use of AI (Canada.ca),"(""Responsible use of AI"" OR ""Responsible use of artificial intelligence"") site:canada.ca"
A,A3,Guide on the use of generative AI (Canada.ca),"(""Guide on the use of generative artificial intelligence"" OR ""Guide on the use of generative AI"") site:canada.ca"
A,A4,Directive on Automated Decision-Making (TBS),"(""Directive on Automated Decision-Making"" OR ""Directive sur la prise de décision automatisée"") site:tbs-sct.canada.ca"
A,A5,Algorithmic Impact Assessment (AIA),"(""Algorithmic Impact Assessment"" OR ""Évaluation de l’incidence algorithmique"") site:canada.ca"
A,A6,GC AI Register (Open Government),"(""AI Register"" OR ""Registre de l’IA"") site:open.canada.ca"
A,A7,Peer review of automated decision systems,"(""Peer Review"" AND (""Automated Decision Systems"" OR ""Systèmes décisionnels automatisés"")) site:canada.ca"
A,A8,Guiding principles for AI in government,"(""Guiding principles"" AND AI AND government) site:canada.ca"
A,A9,Generative AI in your daily work,"(""Generative AI in your daily work"" OR ""IA générative au quotidien"") site:canada.ca"
B,B1,Microsoft Copilot Chat policy and GC adoption,"(""Microsoft Copilot chat"" OR ""Copilot Chat"") (""Government of Canada"" OR GC OR ""federal public service"")"
B,B2,Copilot for Work / M365 Copilot on Canada.ca,"(""Copilot for Work"" OR ""M365 Copilot"") site:canada.ca"
B,B3,Copilot and Protected B status (GC),"(""Copilot"" AND ""Protected B"") (""Government of Canada"" OR GC)"
B,B4,CanChat (SSC),"(""CanChat"" AND (SSC OR ""Shared Services Canada""))"
B,B5,Radia (ISED),"(""Radia"" AND (ISED OR ""Innovation, Science and Economic Development""))"
B,B6,AI Zone (NRC),"(""AI Zone"" AND (NRC OR ""National Research Council""))"
C,C1,CanadaBuys: GenAI + SSC,"site:canadabuys.canada.ca (""generative AI"" OR ""GenAI"") (SSC OR ""Shared Services Canada"")"
C,C2,CanadaBuys: ITQ181037,"site:canadabuys.canada.ca (ITQ181037 OR ""Generative AI for Back Office Productivity Solutions"")"
C,C3,CanadaBuys: AI Source List,"site:canadabuys.canada.ca (""Artificial Intelligence Source List"" OR (""source list"" AND ""artificial intelligence""))"
C,C4,Standing offers / supply arrangements for AI,"(""standing offer"" OR ""supply arrangement"") (""generative AI"" OR ""AI"") site:canadabuys.canada.ca"
D,D1,AI Accelerator (NRC),"(""AI Accelerator"" AND (NRC OR ""National Research Council"") AND ""Government of Canada"")"
D,D2,AI Answers pilot,"(""AI Answers"" AND Canada AND pilot) site:canada.ca"
D,D3,GC AI communities (broad),"(""GC AI Forum"" OR ""AI Community of Practice"" OR ""GC AI Hub"")"
D,D4,AI Learning Hub (GCXchange),"(""AI Learning Hub"" AND GCXchange)"
D,D5,GC AI Ecosystem placemat (PDF),"(""AI Ecosystem"" AND ""Government of Canada"" filetype:pdf)"
E,E1,AI governance frameworks (general),"(""AI governance"" OR ""responsible AI governance"") (framework OR playbook OR standard)"
E,E2,AIDG Standardization Hub (Canada),"(""Artificial Intelligence and Data Governance"" OR AIDG) (Canada OR ""Standards Council of Canada"")"
E,E3,AI model validation (audit/assurance),"(""AI model validation"" AND (KPMG OR Deloitte OR ""internal audit""))"
E,E4,NIST AI RMF Govern,"(""NIST"" AND (""AI RMF"" OR ""AI Risk Management Framework"") AND (govern OR playbook))"
E,E5,Shadow AI agents (governance),"(""shadow AI agents"" AND governance)"
F,F1,Canadian Artificial Intelligence Safety Institute,"(""Canadian Artificial Intelligence Safety Institute"" OR CAISI) site:ised-isde.canada.ca"
F,F2,UK AI Security Institute,"(""AI Security Institute"" OR AISI) UK"
F,F3,NIST CAISI (US),"(""NIST"" AND CAISI AND ""AI standards"")"
F,F4,NSA Artificial Intelligence Security Center,"(""Artificial Intelligence Security Center"" OR AISC) NSA"
F,F5,AI data security best practices (PDF),"(""AI data security"" AND ""best practices"" filetype:pdf)"
F,F6,AI Incident Database,"(""AI incident database"" OR incidentdatabase.ai) (update OR report OR release)"
G,G1,Canada AI regulation,"(""AI regulation"" OR ""AI law"") (Canada OR ""Government of Canada"")"
G,G2,AI regulatory sandboxes,"(""AI regulatory sandbox"" OR (""regulatory sandbox"" AND AI))"
G,G3,AI Watch global regulatory tracker,"(""AI Watch"" AND ""global regulatory tracker"")"
G,G4,AI Tracker (law/policy) global,"(""AI Tracker"" AND (law OR policy) AND global)"
G,G5,EU AI Act implementation signals,"(""EU AI Act"" AND (guidance OR implementation OR enforcement))"
H,H1,"Epoch AI (benchmarks, models, hardware, trends)","(""Epoch AI"" AND (benchmark OR dashboard OR ""notable AI models"" OR ""machine learning hardware"" OR ""Gradient Updates"" OR trends))"
H,H2,"METR (long tasks, evaluations)","(""METR"" AND (""long tasks"" OR evaluation OR ""time horizons"" OR ""Measuring AI Ability""))"
H,H3,ARC Prize / ARC-AGI,"(""ARC Prize"" OR ""ARC-AGI"") (leaderboard OR benchmark OR results)"
H,H4,Vectara hallucination leaderboard,"(""Hallucination leaderboard"" AND Vectara)"
H,H5,Scale SEAL leaderboards / showdown,"(""Scale"" AND (""SEAL LLM Leaderboards"" OR ""SEAL Showdown""))"
H,H6,Artificial Analysis,"(""Artificial Analysis"" AND (model OR benchmark OR leaderboard))"
H,H7,Vals.ai benchmarks,"(""Vals.ai"" AND benchmarks)"
H,H8,TRUEBench,"(""TRUEBench"" AND productivity)"
H,H9,Vending-Bench 2 (Andon Labs),"(""Vending-Bench 2"" AND ""Andon Labs"")"
H,H10,Remote Labour Index,"(""Remote Labour Index"" AND benchmark)"
H,H11,Alpha Arena / nof1.ai,"(""Alpha Arena"" AND nof1.ai)"
I,I1,Agentic AI in public sector (governance/deployment),"(""AI agents"" OR ""agentic AI"") (government OR ""public sector"") (governance OR policy OR deployment)"
I,I2,"Agentic browsers (Copilot Mode, Atlas, Comet)","(""agentic browser"" OR ""browser agent"") (Copilot OR Atlas OR Comet)"
I,I3,"OpenAI agents (Agent, Operator, Deep Research)","(""ChatGPT Agent"" OR Operator OR ""Deep Research"") OpenAI"
I,I4,"Google agents (Gemini Deep Research, Mariner, co-scientist)","(""Gemini Deep Research"" OR ""Project Mariner"" OR ""AI co-scientist"") Google"
I,I5,"Anthropic (Claude Code, computer use)","(""Claude Code"" OR ""computer use"") Anthropic"
I,I6,Copilot Mode in Edge,"(""Copilot Mode"" AND Edge AND browser)"
I,I7,The Agentic State (paper),"(""The Agentic State"" AND (paper OR vision))"
J,J1,Recursive self-improvement,"(""recursive self-improvement"" OR RSI OR ""self-improving AI"") (paper OR arxiv OR report)"
J,J2,R-Zero,"(""R-Zero"" OR ""self-evolving reasoning"") arxiv"
J,J3,SEAL (Self-Adapting Language Models),"(""Self-Adapting Language Models"" OR SEAL) (paper OR blog)"
J,J4,Absolute Zero Reasoner,"(""Absolute Zero Reasoner"") (paper OR preprint)"
J,J5,Darwin Gödel Machine,"(""Darwin Gödel Machine"" OR DGM) Sakana"
J,J6,Million-step LLM tasks,"(""million-step"" AND LLM AND ""zero errors"") arxiv"
J,J7,FutureHouse scientific agents,"(""superintelligent agents"" AND ""scientific discovery"") FutureHouse"
K,K1,CSPS Using Generative AI,"(""Using Generative AI"" AND CSPS) site:csps-efpc.gc.ca"
K,K2,CSPS Data and AI learning,"(""Data and AI in the public service"" AND CSPS) site:csps-efpc.gc.ca"
K,K3,Prompt engineering for public servants,"(""prompt engineering"" AND (""public servants"" OR government) AND (course OR training OR guide))"
K,K4,AI adoption frameworks (public sector),"(""AI Adoption"" AND (masterclass OR framework) AND ""public sector"")"
K,K5,GOV.UK human-centred scaling of AI tools,"(""human-centred"" AND ""scaling AI tools"") site:gov.uk"
K,K6,Responsible Use of Generative AI playbooks (PDF),"(""Responsible Use of Generative AI"" AND playbook filetype:pdf)"
L,L1,Anthropic Economic Index,"(""Anthropic Economic Index"" AND (update OR release OR report))"
L,L2,AI exposure in Canada public sector (DAIS),"(""AI exposure"" AND ""public sector workforce"" AND Canada AND (DAIS OR report))"
L,L3,AI-driven productivity (CIGI),"(""AI-driven productivity"" AND CIGI)"
L,L4,OpenAI economic analysis,"(""OpenAI"" AND ""economic analysis"" AND productivity)"
L,L5,AI replacing jobs (Canada/public sector),"(""AI replacing jobs"" AND (Canada OR ""public sector""))"
L,L6,Project Iceberg (MIT),"(""Project Iceberg"" AND MIT AND (index OR skills))"
M,M1,Generative AI footprint (energy/water),"(""generative AI"" AND (energy OR electricity OR water) AND footprint)"
M,M2,AI Energy Score (Hugging Face),"(""AI Energy Score"" AND (Hugging Face OR ""Energy Score""))"
M,M3,Data centers and LLM environmental impacts,"(""environmental impact"" AND ""large language models"" AND ""data centers"")"
M,M4,Standardizing AI energy metrics,"(""standardizing"" AND ""AI energy"" AND (metrics OR reporting))"
N,N1,AI avatars in enterprise/government,"(""AI avatar"" AND enterprise AND (policy OR governance OR procurement))"
N,N2,Avatar vendors + public sector,"(Synthesia OR HeyGen OR UneeQ OR Ravatar OR ""DeepBrain AI"") (government OR ""public sector"")"
N,N3,Smart glasses privacy and regulation,"(""AI glasses"" OR ""smart glasses"") (privacy OR regulation OR ""bystander consent"")"
N,N4,BCI ethics and privacy,"(""brain-computer interface"" OR BCI OR BMI) (ethics OR privacy OR governance)"
N,N5,Neuralink/Synchron policy signals,(Neuralink OR Synchron) (public policy OR regulation OR privacy)
O,O1,Humanoid robots in government / public sector,"(""humanoid robots"" AND (public sector OR government OR ""critical infrastructure""))"
O,O2,Embodied AI and robotic coworkers,"(""embodied AI"" AND ""robotic coworkers"")"
O,O3,Major humanoid vendors + deployments,"(Figure OR ""Boston Dynamics"" OR Optimus OR Tesla OR Agility OR Unitree OR ""Sanctuary AI"" OR Apptronik OR ""1X Technologies"") (deployment OR pilot OR procurement)"
O,O4,Humanoid robot workplace safety,"(""humanoid robot"" AND workplace AND safety)"
P,P1,Vibe coding,"(""vibe coding"" OR ""vibe-coding"")"
P,P2,AI agents / agentic AI,"(""AI agents"" OR ""agentic AI"")"
P,P3,Intelligence explosion,"(""intelligence explosion"")"
P,P4,AGI,"(""Artificial General Intelligence"" OR AGI)"
P,P5,ASI,"(""Artificial Superintelligence"" OR ASI)"
Q,Q1,Agtech vendor and product names (agriculture filter),"(""Cgrain"" OR ""Cropify"" OR ""Deimos"" OR Acova OR ""EasyODM"" OR FOSS OR ""Ground Truth Ag"" OR ""Platypus Vision"" OR ""Nebulaa"" OR ""QualySense"" OR Upjao OR ""Vibe Imaging Analytics"" OR Videometer OR Zeutec OR ZoomAgri OR GoMicro OR Inarix OR ""Grain Discovery"" OR ""SuperGeo AI Tech"" OR Agsure OR GrainSense OR Grainkart OR ""Shandong Hongsheng Technology"" OR Keyetech) AND (grain OR seed OR crop OR agriculture OR agtech OR ""grain quality"" OR ""seed quality"")"
Q,Q2,"Vendor announcements (launch, funding, pilots, partnerships)","(""Cgrain"" OR ""Cropify"" OR ""Deimos"" OR Acova OR ""EasyODM"" OR FOSS OR ""Ground Truth Ag"" OR ""Platypus Vision"" OR ""Nebulaa"" OR ""QualySense"" OR Upjao OR ""Vibe Imaging Analytics"" OR Videometer OR Zeutec OR ZoomAgri OR GoMicro OR Inarix OR ""Grain Discovery"" OR ""SuperGeo AI Tech"" OR Agsure OR GrainSense OR Grainkart OR ""Shandong Hongsheng Technology"" OR Keyetech) AND (launch OR released OR announcement OR partnership OR funding OR ""Series A"" OR acquisition OR pilot OR ""case study"" OR ""field trial"" OR contract OR procurement) AND (grain OR seed OR crop OR agriculture OR agtech OR ""grain quality"")"
Q,Q3,Benchtop and lab inspection systems (tool names),"(""Value Pro"" OR ""Value Sorter"" OR Opal OR ""Visual Analysis device"" OR ""Grain Sample Analysis"" OR EyeFoss OR ""MATT Automatic Grain Analyser"" OR ""QSorter Explorer"" OR ""Upjao Easy"" OR ""Upjao Ultra"" OR QM3i OR SeedLab OR SeedSorter OR SpectraAlyzer OR ""GRAIN VISION AI"" OR ZoomOne OR ZoomVARIETIES OR ZoomSPEX) AND (grain OR seed OR wheat OR barley OR canola OR corn OR maize OR soybean OR oats OR durum OR lentils OR chickpeas OR ""oilseeds"")"
Q,Q4,Full automation grain inspection platforms,"(""Fully Automated Grain Quality Inspection Platform"" OR ""AI Algorithm System Grain Quality Analyzer"") AND (grain OR wheat OR corn OR rice OR soybean OR inspection OR grading OR ""quality analyzer"")"
Q,Q5,Mobile apps for grain inspection,"(GoMicro OR Inarix OR ""SuperGeo AI Tech"" OR ""Grain Discovery"") AND (grain OR wheat OR barley OR corn OR maize OR soybean OR ""grain quality"" OR inspection OR grading) AND (app OR mobile OR smartphone OR ""computer vision"")"
Q,Q6,Open-source / tooling signals (agriculture + imagery),"((""EasyODM"" OR ODM OR ""open source"" OR FOSS OR ""open-source"") AND (agriculture OR agtech OR ""remote sensing"" OR drone OR ""field imagery"" OR ""crop monitoring"" OR phenotyping))"
Q,Q7,Competitor discovery pattern alert (unnamed products),"((""grain quality"" OR ""seed quality"" OR kernel OR dockage OR ""foreign material"" OR ""test weight"") AND (""computer vision"" OR ""hyperspectral"" OR ""near infrared"" OR NIR OR ""machine vision"" OR ""deep learning"") AND (analyzer OR analyser OR sorter OR inspection OR grading OR ""quality assessment""))"
R,R1,Named grain datasets (direct),"(""GrainSpace"" OR ""GrainSet"" OR ""Global Wheat-Head Detection"" OR ""Corn Kernel Images"" OR ""Soybean Seeds Quality Set"" OR ""Australian Barley Quality Images"") AND (dataset OR benchmark OR annotation OR ""image dataset"" OR ""data release"" OR github OR kaggle OR arxiv OR ""Scientific Data"")"
R,R2,Grain appearance inspection + kernel defect datasets,"((""Grain Appearance Inspection"" OR GAI OR ""kernel defect"" OR ""unsound kernels"" OR ""grain impurity"" OR ""foreign material"") AND (dataset OR benchmark OR annotation OR ""training data"" OR ""labeled images"" OR ""image database""))"
R,R3,Wheat-head / spike detection datasets,"((""wheat-head detection"" OR ""wheat head"" OR ""spike detection"") AND (dataset OR benchmark OR ""domain shift"" OR ""cross-country"" OR phenotyping) AND (""computer vision"" OR ""deep learning"" OR YOLO))"
S,S1,Hyperspectral imaging + ML for grains,"(hyperspectral OR HSI OR ""NIR-HSI"" OR ""Vis-NIR"" OR SWIR OR FTIR OR spectroscopy OR ""near-infrared spectroscopy"" OR NIR) AND (grain OR wheat OR barley OR oats OR corn OR maize OR soybean OR canola OR rapeseed OR sorghum) AND (""machine learning"" OR ""deep learning"" OR CNN OR transformer)"
S,S2,YOLO and object detection for defects/impurities,"(YOLO OR YOLOv5 OR YOLOv8 OR ""object detection"") AND (grain OR kernels OR wheat OR barley OR ""grain impurities"" OR ""foreign material"" OR dockage OR defects OR ""broken kernels"") AND (dataset OR model OR framework OR ""mean average precision"" OR mAP)"
S,S3,Attention modules and efficient architectures,"(CBAM OR ""Convolutional Block Attention Module"" OR EfficientNet OR ""EfficientNet B0"" OR ""attention mechanism"" OR ""self-attention"") AND (grain OR wheat OR barley OR corn OR maize OR soybean OR seed) AND (classification OR grading OR inspection OR recognition)"
S,S4,GAN/WGAN augmentation in spectral or HSI workflows,"(WGAN OR ""Wasserstein GAN"" OR ""generative adversarial network"" OR GAN) AND (hyperspectral OR HSI OR NIR OR spectroscopy) AND (grain OR wheat OR barley OR seed) AND (augmentation OR ""data augmentation"" OR ""synthetic data"")"
S,S5,Explainable AI + model updating + drift,"(explainable OR XAI OR SHAP OR ""model updating"" OR incremental OR ""online learning"" OR drift OR ""domain adaptation"" OR ""transfer learning"") AND (grain OR wheat OR barley OR corn OR maize OR soybean OR seed) AND (classification OR grading OR inspection OR recognition)"
T,T1,"Mycotoxins and toxins (DON, T-2/HT-2, etc.)","(mycotoxin OR deoxynivalenol OR DON OR aflatoxin OR fumonisin OR ""T-2"" OR ""HT-2"" OR zearalenone OR OTA) AND (grain OR wheat OR barley OR oats OR corn OR maize) AND (hyperspectral OR HSI OR NIR OR spectroscopy OR ""machine learning"" OR ""deep learning"")"
T,T2,Moisture and protein prediction (non-destructive),"(moisture OR protein OR ""protein distribution"" OR ""quality traits"") AND (wheat OR grain OR kernels) AND (""non-destructive"" OR nondestructive) AND (hyperspectral OR HSI OR NIR OR FTIR OR spectroscopy OR ""image processing"" OR ""deep learning"")"
T,T3,"Seed purity, origin verification, and variety authentication","(""seed purity"" OR authenticity OR authentication OR ""variety recognition"" OR ""variety identification"" OR provenance OR origin) AND (wheat OR barley OR corn OR maize OR soybean OR canola OR rapeseed OR sorghum) AND (hyperspectral OR HSI OR NIR OR spectroscopy OR ""computer vision"" OR CNN OR ""deep learning"")"
T,T4,Disease detection relevant to quality,"(""Fusarium head blight"" OR FHB OR rust OR ""net blotch"" OR scald OR ""diseased spikelet"") AND (wheat OR barley) AND (""computer vision"" OR ""deep learning"" OR CNN OR EfficientNet OR CBAM OR YOLO)"
U,U1,Artificial intelligence and agriculture,"(""Artificial intelligence"" OR AI OR ""machine learning"" OR ""generative AI"" OR GenAI) AND (agriculture OR agtech OR agronomy OR crops OR ""precision agriculture"" OR ""grain industry"")"
U,U2,AI and crops,"(""Artificial intelligence"" OR AI OR ""machine learning"" OR ""deep learning"") AND (crops OR wheat OR barley OR canola OR oilseeds OR soybean OR corn OR maize OR oats OR durum OR lentils OR chickpeas)"
U,U3,AI and environment (agriculture anchored),"(""Artificial intelligence"" OR AI OR ""machine learning"" OR ""generative AI"") AND (agriculture OR agri-food OR crops OR ""food system"") AND (environment OR emissions OR carbon OR methane OR fertilizer OR water OR irrigation OR soil OR biodiversity)"
U,U4,AI in the grain industry (explicit),"(""artificial intelligence"" OR AI OR ""machine learning"" OR ""computer vision"") AND (""grain industry"" OR ""grain quality"" OR ""grain grading"" OR ""seed quality"")"
U,U5,Artificial intelligence Canada (broad),"(""artificial intelligence"" OR AI OR ""machine learning"" OR ""generative AI"") AND (Canada OR Canadian)"
U,U6,AI ethics (broad),"(""artificial intelligence"" OR AI) AND (ethics OR ""ethical AI"")"
U,U7,AI governance (broad),"(""artificial intelligence"" OR AI) AND governance"
U,U8,AI job replacement (broad),"(""artificial intelligence"" OR AI) AND (""job replacement"" OR ""replacing jobs"" OR automation)"
U,U9,AI privacy (broad),"(""artificial intelligence"" OR AI) AND privacy"
U,U10,AI regulation (broad),"(""artificial intelligence"" OR AI) AND (regulation OR ""AI law"")"
U,U11,AI security (broad),"(""artificial intelligence"" OR AI) AND security"
U,U12,Artificial superintelligence (broad),"(""Artificial Superintelligence"" OR ASI)"
